# USDA food insecurity prevalence by state (% of households).
# Vintage: USDA ERS, 3-year average 2022-2024 (latest available).
# Source: USDA Economic Research Service, Current Population Survey Food Security
#   Supplement (CPS-FSS). Official data download (file: foodsecurity-state-2024.csv,
#   tab "Food security by State"):
#   https://www.ers.usda.gov/media/799/food-security-csv-data-files.zip
#   (linked from the ERS "Food Security in the U.S. - Interactive Charts and Highlights" page).
# Retrieved & extracted directly from the official ZIP: 2026-06-16 (no manual transcription).
# Anchors (sanity check): US total 2022-24; lowest ND 9.0; highest AR 19.4.
# Lines beginning with '#' are comments and are skipped by the loader.
state,food_insecurity_pct,food_insecurity_moe,very_low_food_security_pct
Alabama,12.1,2.23,4.6
Alaska,13.0,2.53,6.5
Arizona,13.1,1.68,5.6
Arkansas,19.4,1.67,7.6
California,12.5,0.82,4.4
Colorado,10.5,1.94,4.3
Connecticut,12.1,2.07,5.7
Delaware,10.8,1.97,4.5
District of Columbia,10.3,1.54,4.9
Florida,13.3,1.28,4.8
Georgia,14.6,1.95,5.9
Hawaii,10.8,1.79,4.5
Idaho,12.6,1.72,4.5
Illinois,13.3,1.54,4.8
Indiana,13.7,1.66,5.9
Iowa,10.8,2.02,3.9
Kansas,12.5,1.54,4.9
Kentucky,18.8,2.80,9.0
Louisiana,17.7,2.29,6.8
Maine,12.9,2.75,4.6
Maryland,11.5,1.79,4.8
Massachusetts,11.7,1.53,3.9
Michigan,14.7,1.99,6.3
Minnesota,9.9,1.69,3.7
Mississippi,17.3,1.62,6.9
Missouri,13.3,2.16,5.9
Montana,11.7,1.71,4.2
Nebraska,12.7,1.92,5.3
Nevada,15.0,2.17,6.1
New Hampshire,9.1,1.81,4.4
New Jersey,9.8,1.43,3.5
New Mexico,14.5,2.20,6.5
New York,14.0,1.29,5.6
North Carolina,11.8,1.66,4.4
North Dakota,9.0,1.62,4.1
Ohio,14.2,1.45,6.2
Oklahoma,16.9,2.78,6.0
Oregon,12.5,2.37,5.7
Pennsylvania,10.9,1.30,3.7
Rhode Island,10.6,2.58,5.1
South Carolina,13.5,1.60,5.8
South Dakota,9.5,1.48,3.4
Tennessee,13.3,1.72,5.8
Texas,17.6,1.01,6.6
Utah,11.5,1.59,4.3
Vermont,9.4,1.78,3.7
Virginia,12.4,1.69,5.3
Washington,11.0,1.17,3.9
West Virginia,14.1,1.86,4.3
Wisconsin,12.0,1.75,4.4
Wyoming,15.6,2.69,6.4
